schema|SelectedProfileManifestV1
profile_id|VITHEIM-PRODUCTION-V1
generation|2
default_evidence_state|Specified
stop_id|selection|declared_minimum_dependencies|capability_dependencies|dependency_state|increment|delivery_slices|required_for_claims|capability|executable_owner|integration_retest_owners|required_storage_profile|required_identity_profile|required_runtime_profile|successor_after_skip|support_boundary|dependency_class|reason
0.27.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Remediation Authority Bootstrap And Recovery|specified:docs/implementation/PHASE_B.md#0.27.0|0.27.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.28.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Quota Claim And Reservation Admission|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.28.0|0.28.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.29.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Quota Settlement, Reconciliation, And Recovery|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.29.0|0.29.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.30.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Atomic Command And Consumer Bundle Realizations|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.30.0|0.30.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.31.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Atomic Timer And Activity Bundle Realizations|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.31.0|0.31.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.32.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Poison Work And Atomic-Bundle Adapter Certification|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.32.0|0.32.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.33.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Invariant Ownership And Lifecycle Registry|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.33.0|0.33.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.34.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Composite Law Generations And Admission Manifests|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.34.0|0.34.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.35.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Law Semantic Realizations And Generated Conformance|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.35.0|0.35.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.36.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Stable Requirement Registry And Checker|specified:docs/implementation/REQUIREMENT_AND_INTEGRATION_COMPLETIONS.md#0.36.0|0.36.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.37.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Requirement Source Anchors And Drift Enforcement|specified:docs/implementation/ROADMAP_COHERENCE_COMPLETIONS.md#0.37.0|0.37.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.38.0|Mandatory|0.1.0|0.1.0|DeclaredMinimum|I0-feasibility|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Hosted Feasibility And Dependency-Law Decision|specified:docs/implementation/ROADMAP_COHERENCE_COMPLETIONS.md#0.38.0|0.38.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.39.0|Mandatory|0.11.0,0.38.0|0.11.0,0.38.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Integrity Chains And Signed-Checkpoint Interface|specified:docs/implementation/PHASE_B.md#0.39.0|0.39.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.40.0|Mandatory|0.11.0,0.38.0|0.11.0,0.38.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Replay, Verification, And Rebuild CLI|specified:docs/implementation/PHASE_B.md#0.40.0|0.40.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.41.0|Mandatory|0.11.0,0.38.0|0.11.0,0.38.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Security Audit Projection, Access Receipts, And Journal|specified:docs/implementation/PHASE_B.md#0.41.0|0.41.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.42.0|Mandatory|0.11.0,0.38.0|0.11.0,0.38.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Hosted Telemetry Semantics And Instrumentation Contract|specified:docs/implementation/PHASE_B.md#0.42.0|0.42.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.43.0|Mandatory|0.11.0,0.38.0|0.11.0,0.38.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Shared Provenance And Temporal-Fact Primitives|specified:docs/implementation/PHASE_B.md#0.43.0|0.43.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.44.0|Mandatory|0.10.0,0.19.0,0.23.0,0.24.0|0.10.0,0.19.0,0.23.0,0.24.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Executable State-Machine Reference Models|specified:docs/implementation/PRODUCT_CAPABILITY_COMPLETIONS.md#0.44.0|0.44.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.45.0|Mandatory|0.36.0|0.36.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Phase A And B Requirement Backfill|specified:docs/implementation/REQUIREMENT_AND_INTEGRATION_COMPLETIONS.md#0.45.0|0.45.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.46.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Storage Capability Vocabulary And Report|specified:docs/implementation/PHASE_C.md#0.46.0|0.46.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.47.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Static Storage Capability Admission|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.47.0|0.47.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.48.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Runtime Capability Probes And Startup Fence|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.48.0|0.48.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.49.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Capability Lineage, Upgrade, And Downgrade|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.49.0|0.49.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.50.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Capability Recovery, Restore, And Import|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.50.0|0.50.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.51.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Capability Refusal And Differential Conformance|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.51.0|0.51.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.52.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Storage Conformance Harness And Fixtures|specified:docs/implementation/PHASE_C.md#0.52.0|0.52.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.53.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Atomicity Destruction And Crash Testkit|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.53.0|0.53.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.54.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Twin-Tenant And Authorization Storage Testkit|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.54.0|0.54.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.55.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|HA, Migration, Restore, And Capability Test Matrix|specified:docs/implementation/SCOPE_SPLITS_FOUNDATION_STORAGE.md#0.55.0|0.55.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.56.0|Mandatory|0.11.0,0.38.0,0.44.0|0.11.0,0.38.0,0.44.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Adapter-To-Model Correspondence Testkit|specified:docs/implementation/PRODUCT_CAPABILITY_COMPLETIONS.md#0.56.0|0.56.0,0.424.0|semantic-storage-contract|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.57.0|Mandatory|0.38.0,0.46.0,0.52.0,0.56.0|0.38.0,0.46.0,0.52.0,0.56.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|PostgreSQL Reference Adapter|specified:docs/implementation/PHASE_C.md#0.57.0|0.57.0,0.424.0|postgresql-reference|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.58.0|OptionalSelected|0.38.0,0.46.0,0.52.0,0.56.0|0.38.0,0.46.0,0.52.0,0.56.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,sqlite-bounded|SQLite Adapter|specified:docs/implementation/PHASE_C.md#0.58.0|0.58.0,0.424.0|sqlite-bounded|fake-facts-only|Hosted|not-applicable|SelectedBoundedProfileOnly|selected-closure|selected as one separately evidenced bounded reference profile
0.59.0|Deferred|0.38.0,0.46.0,0.52.0,0.56.0|0.38.0,0.46.0,0.52.0,0.56.0|DeclaredMinimum|I8-independent-product-profiles|independent-optional-profile|none|MySQL Adapter|specified:docs/implementation/PHASE_C.md#0.59.0|future-successor-required|mysql-deferred|fake-facts-only|Hosted|future-minor-required-after-skip|NotInDefaultV1|optional-outward-only|not required by the default production-v1 claim
0.60.0|Deferred|0.38.0,0.46.0,0.52.0,0.56.0|0.38.0,0.46.0,0.52.0,0.56.0|DeclaredMinimum|I8-independent-product-profiles|independent-optional-profile|none|MongoDB Adapter|specified:docs/implementation/PHASE_C.md#0.60.0|future-successor-required|mongodb-deferred|fake-facts-only|Hosted|future-minor-required-after-skip|NotInDefaultV1|optional-outward-only|not required by the default production-v1 claim
0.61.0|Deferred|0.38.0,0.46.0,0.52.0,0.56.0|0.38.0,0.46.0,0.52.0,0.56.0|DeclaredMinimum|I8-independent-product-profiles|independent-optional-profile|none|SurrealDB Adapter|specified:docs/implementation/PHASE_C.md#0.61.0|future-successor-required|surrealdb-deferred|fake-facts-only|Hosted|future-minor-required-after-skip|NotInDefaultV1|optional-outward-only|not required by the default production-v1 claim
0.62.0|Mandatory|0.38.0,0.46.0,0.52.0,0.56.0,0.57.0|0.38.0,0.46.0,0.52.0,0.56.0,0.57.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Blob-Store API And Filesystem Adapter|specified:docs/implementation/PHASE_C.md#0.62.0|0.62.0,0.424.0|postgresql-reference|fake-facts-only|Hosted|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.63.0|Deferred|0.38.0,0.46.0,0.52.0,0.56.0,0.57.0|0.38.0,0.46.0,0.52.0,0.56.0,0.57.0|DeclaredMinimum|I8-independent-product-profiles|independent-optional-profile|none|S3-Compatible Object-Storage Adapter|specified:docs/implementation/PHASE_C.md#0.63.0|future-successor-required|postgresql-reference|fake-facts-only|Hosted|future-minor-required-after-skip|NotInDefaultV1|optional-outward-only|not required by the default production-v1 claim
